# CANDIDATES ONLY: not approved for production; short-window baselines
# IP,LatencyThreshold,Name,Cohort
2620:fe::9,45,Quad9,anycast
1.0.0.1,25,Cloudflare,anycast
2606:4700:4700::1001,30,Cloudflare,anycast
8.8.4.4,20,Google,anycast
2001:4860:4860::8844,20,Google,anycast
94.140.14.14,55,AdGuard,anycast
94.140.15.15,55,AdGuard,anycast
2a10:50c0::ad1:ff,55,AdGuard,anycast
185.222.222.222,55,DNS.SB-xTom,anycast
45.11.45.11,50,DNS.SB-xTom,anycast
2a09::,55,DNS.SB-xTom,anycast
2a11::,55,DNS.SB-xTom,anycast
185.228.168.9,50,CleanBrowsing,anycast
2a0d:2a00:1::2,55,CleanBrowsing,anycast
2a0d:2a00:2::2,55,CleanBrowsing,anycast
76.76.2.0,30,ControlD,anycast
76.76.10.0,30,ControlD,anycast
2606:1a40::,45,ControlD,anycast
2606:1a40:1::,45,ControlD,anycast
198.41.0.4,55,Root-A-Verisign,anycast
2001:503:ba3e::2:30,55,Root-A-Verisign,anycast
170.247.170.2,55,Root-B-USC,anycast
2801:1b8:10::b,55,Root-B-USC,anycast
192.33.4.12,70,Root-C-Cogent,anycast
2001:500:2::c,75,Root-C-Cogent,anycast
199.7.91.13,40,Root-D-UMD,anycast
192.203.230.10,35,Root-E-NASA,anycast
2001:500:a8::e,30,Root-E-NASA,anycast
192.36.148.17,55,Root-I-Netnod,anycast
2001:7fe::53,55,Root-I-Netnod,anycast
192.58.128.30,20,Root-J-Verisign,anycast
2001:503:c27::2:30,55,Root-J-Verisign,anycast
202.12.27.33,35,Root-M-WIDE,anycast
139.84.138.108,15,Caasify-Bangalore-5,regional_in
172.232.96.36,20,Caasify-Chennai-5,regional_in
159.65.132.3,55,Caasify-Singapore-1,regional_apac
45.32.100.168,50,Caasify-Singapore-6,regional_apac
5.223.7.195,50,Hetzner-Singapore,regional_apac
172.236.129.31,50,Akamai-Singapore-2,regional_apac
2600:3c15::f03c:94ff:fe13:db17,55,Akamai-Singapore-2,regional_apac
205.147.103.169,55,E2E-Noida,regional_in
