# IP,LatencyThreshold,Name,Cohort
103.160.195.230,10,DNS,isp
103.153.93.230,10,DNS,isp
8.8.8.8,20,Google,anycast
142.251.221.206,20,Google-Priority-1,priority
142.251.221.164,20,Google-Priority-2,priority
1.1.1.1,20,Cloudflare,anycast
104.16.142.237,20,Cloudflare,anycast
104.16.143.237,20,Cloudflare,anycast
57.144.56.1,25,Meta,anycast
103.153.93.231,10,KV-TRV-Speedtest,isp
103.160.195.234,10,KV-COK-Speedtest,isp
14.142.20.36,10,TATA-EKM-Speedtest,regional_in
49.45.64.214,55,JIO-COK-Speedtest,regional_in
152.52.30.118,40,AIRTEL-MAA-Speedtest,regional_in
16.112.0.0,30,AWS-HYD,regional_in
3.6.0.0,40,AWS-BOM,regional_in
62.72.40.91,30,Contabo-BOM,regional_in
148.113.1.33,30,OVH-BOM,regional_in
172.232.96.28,20,Linode-MAA,regional_in
172.105.33.31,30,Linode-BOM,regional_in
65.20.66.100,35,Vultr-BOM,regional_in
139.84.130.100,35,Vultr-BLR,regional_in
152.67.9.71,30,Oracle-BOM,regional_in
139.162.23.4,55,Linode-SGP,regional_apac
194.156.163.5,60,Misaka-SGP,regional_apac
45.90.28.0,30,NextDNS,anycast
193.0.14.129,30,K-root,anycast
192.5.5.241,20,F-root,anycast
199.7.83.42,30,L-root,anycast
129.159.225.168,30,Oracle-HYD,regional_in
2001:df7:4d80:34::13:8754,10,DNS,isp
2001:df7:4d80:32::13:8754,10,DNS,isp
2001:4860:4860::8888,20,Google,anycast
2404:6800:4007:838::200e,20,Google-Priority-1,priority
2404:6800:4007:808::2004,20,Google-Priority-2,priority
2606:4700:4700::1111,20,Cloudflare,anycast
2606:4700::6810:8eed,20,Cloudflare,anycast
2606:4700::6810:8fed,20,Cloudflare,anycast
2a03:2880:f335:1:face:b00c:0:25de,25,Meta,anycast
2001:df5:2380:ffff:ffff:ffff:0:31,10,KV-TRV-Speedtest,isp
2001:df5:d380:8001::15,10,KV-COK-Speedtest,isp
2403:0:4:3::4,10,TATA-EKM-Speedtest,regional_in
2405:200:1670:200:49:45:64:d2,30,JIO-COK-Speedtest,regional_in
2404:a800:3a00:1::a3a,25,AIRTEL-MAA-Speedtest,regional_in
2406:da1b:354:a600::ec2,35,AWS-HYD,regional_in
2406:da1a:ddd:7400::ec2,35,AWS-BOM,regional_in
2400:d321:5028:1091::,30,Contabo-BOM,regional_in
2402:1f00:8300:121::,30,OVH-BOM,regional_in
2600:3c08::f03c:93ff:fe7c:11f2,25,Linode-MAA,regional_in
2400:8904::f03c:91ff:fea5:928b,30,Linode-BOM,regional_in
2401:c080:2400:108b:5400:3ff:fef0:2934,30,Vultr-BOM,regional_in
2401:c080:3000:2048:5400:4ff:fe1d:7185,30,Vultr-BLR,regional_in
2603:c021:4006:4501:7c42:2b2d:a083:df0a,35,Oracle-BOM,regional_in
2400:8901::f03c:91ff:fe84:541d,75,Linode-SGP,regional_apac
2407:b9c0:e000::5,60,Misaka-SGP,regional_apac
2a07:a8c0::,30,NextDNS,anycast
2001:7fd::1,50,K-root,anycast
2001:500:2f::f,20,F-root,anycast
2001:500:9f::42,40,L-root,anycast
2603:c024:8001:1201:494b:14e8:2a00:f397,35,Oracle-HYD,regional_in

# Additional providers validated on 2026-09-06
76.76.2.0,55,ControlD,anycast
2606:1a40::,45,ControlD,anycast
94.140.14.14,60,AdGuard,anycast
2001:500:a8::e,25,Root-E-NASA,anycast
192.36.148.17,70,Root-I-Netnod,anycast
2001:7fe::53,80,Root-I-Netnod,anycast
199.7.91.13,45,Root-D-UMD,anycast
202.12.27.33,50,Root-M-WIDE,anycast
172.232.96.36,20,Caasify-Chennai-5,regional_in
159.65.132.3,65,Caasify-Singapore-1,regional_apac
5.223.7.195,65,Hetzner-Singapore,regional_apac
172.236.129.31,75,Akamai-Singapore-2,regional_apac
2600:3c15::f03c:94ff:fe13:db17,70,Akamai-Singapore-2,regional_apac
205.147.103.169,50,E2E-Noida,regional_in
2a0d:2a00:2::2,65,CleanBrowsing,anycast
2620:fe::fe,15,Quad9,anycast
2001:500:2d::d,25,Root-D-UMD,anycast
198.97.190.53,70,Root-H-Army,anycast
2801:1b8:10::b,75,Root-B-USC,anycast
